"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"KOR","Korea","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DNK","Denmark","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"DNK","Denmark","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",21.339,,
"GRC","Greece","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LUX","Luxembourg","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.141,,
"LUX","Luxembourg","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"KOR","Korea","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",37.631,,
"KOR","Korea","L3","Upper secondary education (ISCED2011 level 3)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",31.528,,
"SVN","Slovenia","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"USA","United States","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.096,,
"USA","United States","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.04,,
"ESP","Spain","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NOR","Norway","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.819,,
"NOR","Norway","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISL","Iceland","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"ISL","Iceland","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CAN","Canada","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",38.872,,
"SVK","Slovak Republic","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SWE","Sweden","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",23.872,,
"SWE","Sweden","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"MEX","Mexico","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DEU","Germany","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",23.75,,
"DEU","Germany","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"TUR","Turkey","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"TUR","Turkey","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NZL","New Zealand","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"NZL","New Zealand","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.116,,
"AUS","Australia","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.177,,
"ESP","Spain","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
